commentId	sourceItemURL	commentTitle	SourceItemId	sourceItemTitle	createDate	TookIntoConsideration	TookIntoConsiderationReason	Remark	commentState
136	https://localhost:44300/PublicConsultation/View/134	Корекция	134	Наредба за изменение и допълнение на Наредба № 8 от 24.08.2004 г. за условията и изискванията за изграждане и експлоатация на депа и на други съоръжения и инсталации за оползотворяване и обезвреждане на отпадъци	Sep 30 2010 11:10AM	Неразгледан			Одобрен
135	https://localhost:44300/PublicConsultation/View/134	&#167;5. Създава се чл. 35а	134	Наредба за изменение и допълнение на Наредба № 8 от 24.08.2004 г. за условията и изискванията за изграждане и експлоатация на депа и на други съоръжения и инсталации за оползотворяване и обезвреждане на отпадъци	Sep 30 2010 11:09AM	Неразгледан			Одобрен
3059	https://localhost:44300/PublicConsultation/View/2901	Спрете роенето на агенции и започнете да си вършите работата!	2901	Проект на Постановление на Министерския съвет за създаване на Изпълнителна агенция „Оперативна програма Наука и образование за интелигентен растеж“  (ИА &quot;ОП  НОИР&quot;) и за приемане на Устройствен правилник на ИА &quot;ОП НОИР&quot;	Sep 29 2017 12:07PM	Неразгледан			Одобрен
3058	https://localhost:44300/PublicConsultation/View/2901	Няма ли кой да сложи край на промените в тази програма?	2901	Проект на Постановление на Министерския съвет за създаване на Изпълнителна агенция „Оперативна програма Наука и образование за интелигентен растеж“  (ИА &quot;ОП  НОИР&quot;) и за приемане на Устройствен правилник на ИА &quot;ОП НОИР&quot;	Sep 29 2017 12:01PM	Неразгледан			Одобрен
2178	https://localhost:44300/PublicConsultation/View/2210	Добавяне на номер на обществената поръчка и други към отделни плащания	2210	Проект на Решение на Министерския съвет за изменение и допълнение на Решение № 214 на Министерския съвет от 25.02.2016 г. за приемане на списък с набори от данни по приоритетни области, които да се публикуват в отворен формат	Sep 29 2016  2:59PM	Неразгледан			Одобрен
1100	https://localhost:44300/PublicConsultation/View/1372	Целодневна организация	1372	Проект на Инструкция за целодневната организация на учебния ден	Sep 28 2014 12:22PM	Неразгледан			Одобрен
3057	https://localhost:44300/PublicConsultation/View/2919	Молба	2919	Проект на Решение на Министерския съвет за одобряване на проект на Закон за изменение и допълнение на Закона за техническите изисквания към продуктите	Sep 27 2017  6:28PM	Неразгледан			Одобрен
1099	https://localhost:44300/PublicConsultation/View/1377	Персонал за изпълнение на дейностите по информация и публичност	1377	Национална комуникационна стратегия 2014 - 2020 г.	Sep 27 2014  4:34PM	Неразгледан			Одобрен
1098	https://localhost:44300/PublicConsultation/View/1377	Комуникация чрез социалните мрежи	1377	Национална комуникационна стратегия 2014 - 2020 г.	Sep 27 2014  4:27PM	Неразгледан			Одобрен
3056	https://localhost:44300/PublicConsultation/View/2898	Проверка на данни в доклада и предложение за подобрения	2898	ПРОЕКТ НА ДОКЛАД ЗА ПРЕДПРИЕТИТЕ МЕРКИ ПО ПРИЛАГАНЕТО НА ПЛАНА ЗА ДЕЙСТВИЕ ЗА ИЗПЪЛНЕНИЕ НА ЗАКЛЮЧИТЕЛНИТЕ ПРЕПОРЪКИ НА КОМИТЕТА ЗА ПРЕМАХВАНЕ НА ВСИЧКИ ФОРМИ НА ДИСКРИМИНАЦИЯ ПО ОТНОШЕНИЕ НА ЖЕНИТЕ	Sep 26 2017 11:10PM	Неразгледан			Одобрен
