Id	Title	UserCreated	URL	CategoryParent	Category	DocumentType	Institution	CreateDate	ValidTo
1250	Средносрочна бюджетна прогноза за периода 2019 - 2021 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/1250	Национални	Финанси и данъчна политика	Решение	Министерския съвет	15.05.2018	31.12.2019
1244	Стратегия за развитие на вътрешния контрол в публичния сектор на Република България за периода 2018-2020 г.	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1244	Национални	Финанси и данъчна политика	Решение	Министерския съвет	13.11.2017	31.12.2020
1241	Стратегия за управление на държавния дълг за периода 2018-2020	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1241	Национални	Финанси и данъчна политика	Решение	Министерския съвет	06.11.2017	31.12.2020
1238	Национална програма за предотвратяване и противодействие на трафика на хора и закрила на жертвите за 2017 г.	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1238	Национални	Правосъдие и вътрешни работи	Решение	Министерския съвет	07.08.2017	31.12.2017
1237	Национална стратегия за борба с трафика на хора 2017 – 2021	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1237	Национални	Правосъдие и вътрешни работи	Решение	Министерския съвет	31.07.2017	31.12.2021
1236	Aктуализирана Национална пътна карта за научна инфраструктура (2017-2023 г.)	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1236	Национални	Наука и технологии	Решение	Министерския съвет	05.07.2017	31.12.2023
1235	Интегрирана транспортна стратегия в периода до 2030 г.	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1235	Национални	Транспорт	Решение	Министерския съвет	27.06.2017	31.12.2030
1232	Конвергентна програма на Република България (2017-2020 г.)	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1232	Национални	Междусекторни политики	Решение	Министерския съвет	30.05.2017	31.12.2020
1231	Актуализирана Национална стратегия за развитие на научните изследвания в Република България 2017-2030 г.	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1231	Национални	Наука и технологии	Решение	Министерския съвет	29.05.2017	31.12.2030
1230	Национална статистическа програма за 2017 г.	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1230	Национални	Междусекторни политики	Решение	Министерския съвет	05.05.2017	31.12.2017
1226	Национална програма за превенция и контрол на ХИВ и сексуално предавани инфекции в Република България за периода 2017-2020 г.	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1226	Национални	Здравеопазване	Решение	Министерския съвет	18.04.2017	31.12.2020
1225	Национална програма за превенция и контрол на туберкулозата в Република България за периода 2017-2020 г.	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1225	Национални	Здравеопазване	Решение	Министерския съвет	18.04.2017	31.12.2020
1224	Национален план за оказване на поддръжка от Република България като страна-домакин на сили на НАТО	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1224	Национални	Външна политика, политика по сигурност и отбрана	Решение	Министерския съвет	18.04.2017	Не е указан срок
1223	Национална програма за превенция на насилието и злоупотребата с деца (2017–2020 г.)	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1223	Национални	Социална политика и заетост	Решение	Министерския съвет	18.04.2017	31.12.2020
1222	Национален план за действие по заетостта през 2017 г.	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1222	Национални	Социална политика и заетост	Решение	Министерския съвет	12.04.2017	31.12.2017
1221	Национална програма за контрол и лечение на ротавирусните гастроентерити в Република България 2017-2021 г.	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1221	Национални	Здравеопазване	Решение	Министерския съвет	12.04.2017	31.12.2021
1220	Национална програма за първична профилактика на рака на маточната шийка 2017–2020 г.	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1220	Национални	Здравеопазване	Решение	Министерския съвет	12.04.2017	31.12.2020
1219	Mорска стратегия на Република България и програма от мерки	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1219	Национални	Околна среда	Решение	Министерския съвет	12.04.2017	31.12.2021
1218	Национална стратегия за насърчаване на равнопоставеността на жените и мъжете 2016-2020 г.	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1218	Национални	Социална политика и заетост	Решение	Министерския съвет	12.04.2017	31.12.2020
